,path,newpath,space,graph_matrix,room_num,other_room_num,other_ratio,nodes
1497,D:/Dataset/cubicasa5k//high_quality_architectural/11096/model.svg,11096,"['Entry0', 'LivingRoom0', 'Kitchen0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",5,0,0.0,"[26, 41, 36, 1, 70]"
2096,D:/Dataset/cubicasa5k//high_quality_architectural/13302/model.svg,13302,"['Other0', 'Bedroom0', 'Bedroom1', 'Outdoor0', 'Storage0', 'Other1', 'LivingRoom0', 'LivingRoom1', 'Kitchen0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,2,0.2,"[46, 11, 12, 60, 70, 47, 41, 42, 36, 61]"
1397,D:/Dataset/cubicasa5k//high_quality_architectural/10685/model.svg,10685,"['Outdoor0', 'Other0', 'Other1', 'LivingRoom0', 'Entry0', 'LivingRoom1', 'Kitchen0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,2,0.2857142857142857,"[60, 46, 47, 41, 26, 42, 36]"
1811,D:/Dataset/cubicasa5k//high_quality_architectural/12188/model.svg,12188,"['Outdoor0', 'Other0', 'Other1', 'LivingRoom0', 'Bedroom0', 'LivingRoom1', 'Other2', 'Storage0', 'Other3', 'Entry0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,4,0.4,"[60, 46, 47, 41, 11, 42, 52, 70, 53, 26]"
3453,D:/Dataset/cubicasa5k//high_quality_architectural/20026/model.svg,20026,"['Storage0', 'Bath0', 'Bedroom0', 'Outdoor0', 'Entry0', 'Kitchen0', 'LivingRoom0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,0,0.0,"[70, 1, 11, 60, 26, 36, 41]"
850,D:/Dataset/cubicasa5k//high_quality_architectural/8805/model.svg,8805,"['Outdoor0', 'Kitchen0', 'Bedroom0', 'Other0', 'Other1', 'Bath0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,2,0.3333333333333333,"[60, 36, 11, 46, 47, 1]"
313,D:/Dataset/cubicasa5k//high_quality_architectural/655/model.svg,655,"['Bath0', 'Other0', 'Bath1', 'Kitchen0', 'Bedroom0', 'Entry0', 'LivingRoom0', 'Outdoor0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",8,1,0.125,"[1, 46, 2, 36, 11, 26, 41, 60]"
3279,D:/Dataset/cubicasa5k//high_quality_architectural/555/model.svg,555,"['Bath0', 'Other0', 'Bath1', 'Other1', 'Storage0', 'Other2', 'Bedroom0', 'Other3', 'Outdoor0', 'Other4', 'Bedroom1', 'Entry0', 'LivingRoom0', 'Dining0', 'Kitchen0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",16,5,0.3125,"[1, 46, 2, 47, 70, 52, 11, 53, 60, 54, 12, 26, 41, 21, 36, 61]"
1176,D:/Dataset/cubicasa5k//high_quality_architectural/10007/model.svg,10007,"['Entry0', 'Kitchen0', 'Outdoor0', 'Garage0', 'Outdoor1', 'Bath0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Other0', 'Other1', 'Storage0', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",13,2,0.15384615384615385,"[26, 36, 60, 31, 61, 1, 11, 12, 13, 46, 47, 70, 2]"
1872,D:/Dataset/cubicasa5k//high_quality_architectural/12497/model.svg,12497,"['Bath0', 'Bath1', 'Storage0', 'Bedroom0', 'Bedroom1', 'Kitchen0', 'Bedroom2', 'LivingRoom0', 'Other0', 'Other1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,2,0.2,"[1, 2, 70, 11, 12, 36, 13, 41, 46, 47]"
