,path,newpath,space,graph_matrix,room_num,other_room_num,other_ratio
0,D:/Dataset/cubicasa5k//high_quality_architectural/6044/model.svg,6044,"['Outdoor0', 'Entry0', 'Kitchen0', 'LivingRoom0', 'Storage0', 'Bath0', 'Bedroom0', 'Other0', 'Entry1', 'Bath1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 6. ... 0. 0. 0.]
 [0. 7. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,1,0.1
1,D:/Dataset/cubicasa5k//high_quality_architectural/6165/model.svg,6165,"['Bedroom0', 'Kitchen0', 'Other0', 'Other1', 'Bedroom1', 'Outdoor0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",6,2,0.3333333333333333
2,D:/Dataset/cubicasa5k//high_quality_architectural/2123/model.svg,2123,"['Outdoor0', 'Entry0', 'LivingRoom0', 'Kitchen0', 'Outdoor1', 'Bedroom0', 'Bath0', 'Storage0', 'Storage1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",9,0,0.0
3,D:/Dataset/cubicasa5k//high_quality_architectural/6293/model.svg,6293,"['Entry0', 'Storage0', 'Bath0', 'Storage1', 'Bath1', 'Other0', 'Bedroom0', 'Garage0', 'Kitchen0', 'Bedroom1', 'Bedroom2', 'Entry1', 'Kitchen1', 'LivingRoom0', 'Bedroom3', 'Outdoor0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",17,1,0.058823529411764705
5,D:/Dataset/cubicasa5k//high_quality_architectural/1171/model.svg,1171,"['Other0', 'Storage0', 'Other1', 'Storage1', 'Other2', 'Bath0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'LivingRoom0', 'Kitchen0', 'Entry0', 'Other3', 'Outdoor0', 'Outdoor1', 'Entry1', 'Bath1', 'Bedroom3']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",18,4,0.2222222222222222
6,D:/Dataset/cubicasa5k//high_quality_architectural/9333/model.svg,9333,"['Outdoor0', 'LivingRoom0', 'Kitchen0', 'Bedroom0', 'Entry0', 'Bath0', 'Storage0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",7,0,0.0
7,D:/Dataset/cubicasa5k//high_quality_architectural/6335/model.svg,6335,"['Outdoor0', 'Other0', 'Entry0', 'Kitchen0', 'Bedroom0', 'Storage0', 'Outdoor1', 'Bath0', 'Other1', 'Entry1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",10,2,0.2
8,D:/Dataset/cubicasa5k//high_quality_architectural/3796/model.svg,3796,"['Garage0', 'Bath0', 'Entry0', 'Other0', 'Storage0', 'Bath1', 'Bedroom0', 'Bedroom1', 'Outdoor0', 'Entry1', 'Kitchen0', 'LivingRoom0']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 6. ... 0. 0. 0.]
 [0. 7. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",12,1,0.08333333333333333
9,D:/Dataset/cubicasa5k//high_quality_architectural/4880/model.svg,4880,"['Storage0', 'Outdoor0', 'Outdoor1', 'Other0', 'Storage1', 'Other1', 'Storage2', 'Kitchen0', 'Storage3', 'Other2', 'Other3', 'LivingRoom0', 'Bath0', 'Other4', 'Entry0', 'Bedroom0', 'Bedroom1', 'Bedroom2', 'Storage4', 'Bath1', 'Other5', 'Storage5', 'Storage6', 'Other6', 'Storage7', 'Bath2']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 5. ... 0. 0. 0.]
 [0. 8. 9. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",26,7,0.2692307692307692
10,D:/Dataset/cubicasa5k//high_quality_architectural/9618/model.svg,9618,"['Bath0', 'Storage0', 'Other0', 'Bedroom0', 'Other1', 'Bedroom1', 'Bedroom2', 'Entry0', 'Other2', 'Outdoor0', 'Outdoor1']","[[0. 0. 0. ... 0. 0. 0.]
 [0. 9. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",11,3,0.2727272727272727
