,path,dim,h,w
0,D:/Dataset/cubicasa5k//high_quality_architectural/6044/model.svg,"('1618.8400421142578', '1730.8900146484375')",1618.8400421142578,1730.8900146484375
1,D:/Dataset/cubicasa5k//high_quality_architectural/6165/model.svg,"('1369.6700439453125', '959.7100524902344')",1369.6700439453125,959.7100524902344
2,D:/Dataset/cubicasa5k//high_quality_architectural/2123/model.svg,"('1530.3499460220337', '938.2400207519531')",1530.3499460220337,938.2400207519531
3,D:/Dataset/cubicasa5k//high_quality_architectural/6293/model.svg,"('1330.5600891113281', '1911.7300262451172')",1330.5600891113281,1911.7300262451172
4,D:/Dataset/cubicasa5k//high_quality_architectural/925/model.svg,"('879.8299751281738', '470.0699996948242')",879.8299751281738,470.0699996948242
5,D:/Dataset/cubicasa5k//high_quality_architectural/1171/model.svg,"('1265.3800354003906', '2008.7400436401367')",1265.3800354003906,2008.7400436401367
6,D:/Dataset/cubicasa5k//high_quality_architectural/9333/model.svg,"('1094.2299690246582', '768.0999603271484')",1094.2299690246582,768.0999603271484
7,D:/Dataset/cubicasa5k//high_quality_architectural/6335/model.svg,"('1048.6030502319336', '1146.0718297958374')",1048.6030502319336,1146.0718297958374
8,D:/Dataset/cubicasa5k//high_quality_architectural/3796/model.svg,"('2325.760055541992', '1167.6962585449219')",2325.760055541992,1167.6962585449219
9,D:/Dataset/cubicasa5k//high_quality_architectural/4880/model.svg,"('1593.0500946044922', '1917.2199096679688')",1593.0500946044922,1917.2199096679688
10,D:/Dataset/cubicasa5k//high_quality_architectural/594/model.svg,"('1704.6801147460938', '3290.9923934936523')",1704.6801147460938,3290.9923934936523
11,D:/Dataset/cubicasa5k//high_quality_architectural/9618/model.svg,"('1674.5300521850586', '1002.2199974060059')",1674.5300521850586,1002.2199974060059
12,D:/Dataset/cubicasa5k//high_quality_architectural/8406/model.svg,"('1537.7899856567383', '1088.235855102539')",1537.7899856567383,1088.235855102539
13,D:/Dataset/cubicasa5k//high_quality_architectural/693/model.svg,"('1366.0699005126953', '783.3076438903809')",1366.0699005126953,783.3076438903809
14,D:/Dataset/cubicasa5k//high_quality_architectural/449/model.svg,"('1966.0000495910645', '1403.6099243164062')",1966.0000495910645,1403.6099243164062
15,D:/Dataset/cubicasa5k//high_quality_architectural/8714/model.svg,"('1727.6600875854492', '1422.5444641113281')",1727.6600875854492,1422.5444641113281
16,D:/Dataset/cubicasa5k//high_quality_architectural/5658/model.svg,"('611.2899551391602', '1411.4399719238281')",611.2899551391602,1411.4399719238281
17,D:/Dataset/cubicasa5k//high_quality_architectural/2015/model.svg,"('1074.2500267028809', '1022.6249008178711')",1074.2500267028809,1022.6249008178711
18,D:/Dataset/cubicasa5k//high_quality_architectural/8650/model.svg,"('1518.3400192260742', '2076.790069580078')",1518.3400192260742,2076.790069580078
19,D:/Dataset/cubicasa5k//high_quality_architectural/1455/model.svg,"('1063.0500793457031', '1775.4600219726562')",1063.0500793457031,1775.4600219726562
